Id,Name,External_Id,API_Id,NearestCity,County,Coordinates,Lat,Lng,Distance,UcIpmName,WeatherAPI_Id,Active,AllowToDeactivate,AllowToDelete,RegionId,RegionName,MissingRecords
225,San Simon,537,,San Simon,Cochise,"32.200129,-109.123893",32.200129,-109.123893,0.0,,5,True,False,False,22,Arizona,0
48,Sanel Valley,106,,Hopland,Mendocino,"38.98,-123.09",38.98,-123.09,0.0,HOPLAND2.A,1,True,False,False,0,,0
49,Santa Barbara,107,,Santa Barbara,Santa Barbara,"34.44,-119.74",34.44,-119.74,0.0,STBARBRA.A,1,True,False,False,3,South Coast,0
152,Santa Barbara II,230,,Santa Barbara,Santa Barbara,"34.41,-119.72",34.41,-119.72,0.0,Santa_Barbara_II.A,1,False,False,False,3,South Coast,180
129,Santa Clarita,204,,Santa Clarita,Los Angeles,"34.43,-118.52",34.43,-118.52,0.0,SANTA_CLARITA.A,1,True,False,False,14,South Inland,0
154,Santa Maria II,232,,Santa Maria,Santa Barbara,"34.91,-120.46",34.91,-120.46,0.0,Santa_Maria_II.A,1,True,False,False,4,Central Coast,0
44,Santa Monica,099,,Santa Monica,Los Angeles,"34.04,-118.48",34.04,-118.48,0.0,STMONICA.A,1,True,False,False,3,South Coast,0
123,Santa Paula,198,,Santa Paula,Ventura,"34.33,-119.1",34.33,-119.1,0.0,SANTA_PAULA.A,1,True,False,False,3,South Coast,180
33,Santa Rosa,083,,Santa Rosa,Sonoma,"38.4,-122.8",38.4,-122.8,0.0,SNTAROSA.A,1,True,False,False,0,,0
25,Santa Ynez,064,,Santa Ynez,Santa Barbara,"34.58,-120.08",34.58,-120.08,0.0,SNTAYNEZ.A,1,True,False,False,3,South Coast,0
187,Scott Valley,225,,Fort Jones,Siskiyou,"41.577778,-122.838125",41.577778,-122.838125,0.0,,1,True,False,False,1,North Mountain Region,0
26,Seeley,068,,Seeley,Imperial,"32.76,-115.73",32.76,-115.73,0.0,SEELEY.A,1,True,False,False,12,Desert Region,0
181,SEIZEN HOBO,409,21446538,Big Island,Big Island,"20.0264,-155.6535",20.0264,-155.6535,0.0,,6,True,True,False,16,Hawaii -- Big Island,0
2,Shafter/USDA,005,,Shafter,Kern,"35.53,-119.28",35.53,-119.28,0.0,SHAFTER.A,1,True,False,False,13,South San Joaquin Valley,0
232,Shandon,266,,Shandon,San Luis Obispo,"35.643787,-120.403229",35.643787,-120.403229,0.0,,1,True,False,False,4,Central Coast,0
147,Shasta College,224,,Redding,Shasta,"40.62,-122.31",40.62,-122.31,0.0,,1,True,False,False,6,North Sacramento Valley,0
202,Sierra Valley Center,264,,Portola,Plumas,"39.777452,-120.273609",39.777452,-120.273609,0.0,,1,True,False,False,1,North Mountain Region,0
